ID,X,Y,Z,Gradient_X,Gradient_Y,Gradient_Z,Magnitude
2272,22,10,5,225.755,1251.19,-50.8715,1272.41
2273,23,10,5,24.1932,429.737,-32.1872,431.619
2274,24,10,5,-30.0971,-910.966,-315.935,964.666
2275,0,11,5,-1670.13,-86.5984,268.294,1693.75
2276,1,11,5,-885.73,-295.827,-37.2366,934.569
2277,2,11,5,287.583,797.356,43.1088,848.727
2278,3,11,5,478.892,400.871,-16.3411,624.741
2279,4,11,5,115.157,846.089,-1.94028,853.892
2280,5,11,5,-54.5672,-1201.55,59.0024,1204.24
2281,6,11,5,-293.864,-1806.64,244.765,1846.68
2282,7,11,5,318.862,1029.24,10.5684,1077.55
2283,8,11,5,658.352,506.789,7.31598,830.853
2284,9,11,5,-540.101,-997.862,86.7192,1137.96
2285,10,11,5,-984.415,-98.8821,-185.835,1006.67
2286,11,11,5,-171.369,82.0102,-22.3628,191.294
2287,12,11,5,644.849,78.7036,15.3432,649.816
2288,13,11,5,236.809,449.397,-88.1948,515.572
2289,14,11,5,-340.344,-154.827,29.8347,375.094
2290,15,11,5,371.949,380.826,-33.5326,533.384
2291,16,11,5,1473.51,181.462,168.803,1494.21
2292,17,11,5,478.404,1834.07,189.609,1904.9
2293,18,11,5,-328.45,239.111,16.6798,406.61
2294,19,11,5,133.317,123.54,-4.32053,181.808
2295,20,11,5,-334.989,232.457,-4.22921,407.765
2296,21,11,5,-153.155,228.963,120.576,300.698
2297,22,11,5,-441.292,-77.2379,-3.77588,448.016
2298,23,11,5,-487.297,-158.281,-57.8033,515.609
2299,24,11,5,209.959,-276.384,472.895,586.601
2300,0,12,5,-519.208,-617.847,106.785,814.073
2301,1,12,5,480.554,133.644,35.7922,500.074
2302,2,12,5,335.358,2087.99,124.234,2118.4
2303,3,12,5,81.66,1372.21,-72.1814,1376.53
2304,4,12,5,619.433,616.3,-6.30157,873.82
2305,5,12,5,-564.393,768.736,-47.1879,954.841
2306,6,12,5,15.5558,977.353,-150.44,988.986
2307,7,12,5,573.267,1921.1,-56.5924,2005.61
2308,8,12,5,-507.653,1145.67,-282.614,1284.57
2309,9,12,5,-156.371,417.077,-99.8899,456.49
2310,10,12,5,-551.178,1672.46,-2.70382,1760.94
2311,11,12,5,-541.407,543.149,-0.445958,766.898
2312,12,12,5,665.434,719.71,84.5963,983.841
2313,13,12,5,-77.49,5.8198,-2.41561,77.7458
2314,14,12,5,-127.522,0.0655922,-81.1573,151.157
2315,15,12,5,938.375,-88.1107,-2.03815,942.504
2316,16,12,5,1539.5,-386.825,241.303,1605.59
2317,17,12,5,-299.159,-1396.67,48.287,1429.16
2318,18,12,5,-1153.7,-854.164,79.6305,1437.69
2319,19,12,5,8.63417,-1024.48,-7.44617,1024.55
2320,20,12,5,-426.48,-508.859,-2.78952,663.951
2321,21,12,5,-414.211,-354.221,49.6587,547.274
2322,22,12,5,-161.49,-534.361,-163.642,581.721
2323,23,12,5,-174.953,402.849,53.5178,442.448
2324,24,12,5,-266.304,-240.179,-23.4087,359.376
2325,0,13,5,-167.144,503.995,-24.9829,531.575
2326,1,13,5,1820.11,829.397,-66.396,2001.27
2327,2,13,5,1526.15,247.229,-6.70312,1546.06
2328,3,13,5,-992.799,489.092,-5.58564,1106.75
2329,4,13,5,-488.314,-826.777,63.7517,962.328
2330,5,13,5,306.486,-244.941,112.145,408.052
2331,6,13,5,858.498,698.423,-4.67167,1106.72
2332,7,13,5,487.174,-192.965,92.8749,532.165
